NRE,ESCOLA,Total de estudantes que farão o TOIC,Quantidade de Aplicadores,Responsável pelo Teste,Responsável Técnico e Infraestrutura 
,"MARILIS F PIROTELLI, C E-EF M",37,2,1,1
,"MARIO QUINTANA, C E-EF M PROFIS",24,2,1,1
,"MONTEIRO LOBATO, C E-E F M P",22,2,1,1
,"NOVA UNIAO, C E C-EF M",8,1,1,1
,"OCTAVIO TOZO, C E DO C-EF M",20,1,1,1
,"OLAVO BILAC, C E C -EFM",4,1,1,1
,"OLINDA T DE CARVALHO, C E-EF M",16,1,1,1
,"OLIVO FRACARO, C E C-M-E F M",30,2,1,1
,"ORLANDO L ZAMPRONIO, C E-EF M",25,2,1,1
,"OTAVIO FOLDA, C E C-EF M",14,1,1,1
,"PACAEMBU, C E-EF M",21,2,1,1
,"PARANAGUA, C E MQ DE-EF ETI EM PROFIS",48,3,1,1
,"PAULO VI, C E-EF M PROFIS",27,2,1,1
,"PEDRO CANISIO HENZ, C E PE-EF M",23,2,1,1
,"PEDRO ERNESTO GARLET, C E C-EF M",15,1,1,1
,"PEDRO LUIZ MESSIAS, C E C-EF M",3,1,1,1
,"REASSENTAMENTO SAO FCO, C E C DO-EF M",24,2,1,1
,"REASSENTAMENTO SAO MARCOS, C E C-EF M",7,1,1,1
,"RIO DO SALTO, C E C DE-EF M",3,1,1,1
,"SANTA MARIA, C E C-EF M",2,1,1,1
,"SANTA TEREZA DO OESTE, C E C-M-EF M P",31,2,1,1
,"SANTOS DUMONT, C E C-M-EF M",9,1,1,1
,"SAO CRISTOVAO, C E-EF M PROFIS",23,2,1,1
,"SAO FCO DE ASSIS, C E C-EF M",6,1,1,1
,"SAO JOAO, C E C-E F M",18,1,1,1
,"VICTORIO E ABROZINO, C E PROF-EF M PROF",42,3,1,1
,"VITAL BRASIL, C E-EF M N",21,2,1,1
,"WILSON JOFFRE, C E-EF M N PROFIS",30,2,1,1
,"XIV DE NOVEMBRO, C E C-M-EF M",37,2,1,1
CIANORTE,"ARNALDO BUSATO, C E-EF M ETI",2,1,1,1
,"BARROSO, C E ALM - EF M",1,1,1,1
,"BOSCO, C E C-M D-EF M",19,1,1,1
,"CAIO MARIO MOREIRA, C E PROF-EF M",33,2,1,1
,"CASTRO ALVES, C E C-M-EM PROFIS",14,1,1,1
